Sample	Dir	Specie	Cluster
SAMN02630629	GCF_001632805.1	chelonae	Mycobacterium
SAMN09770287	GCF_003390495.1	chelonae	Mycobacterium
SAMN04091131	GCF_001440005.1	chelonae	Mycobacterium
SAMN04091155	GCF_001440305.1	chelonae	Mycobacterium
SAMD00081530	GCF_002356335.1	stephanolepidis	Mycobacterium
SAMN05186798	GCF_002013685.1	salmoniphilum	Mycobacterium
SAMN07807799	GCF_004367915.1	salmoniphilum	Mycobacterium
SAMN05186785	GCF_002013645.1	salmoniphilum	Mycobacterium
SAMN07807798	GCF_004366675.1	CCUG_60883	Mycobacterium
SAMN07807810	GCF_004367265.1	CCUG_60883	Mycobacterium
SAMN05186783	GCF_002013465.1	CCUG_60883	Mycobacterium
SAMN05186774	GCF_002013385.1	D16R24	Mycobacterium
SAMN05186778	GCF_002013745.1	D16Q16	Mycobacterium
SAMN06064258	GCF_002086715.1	saopaulense	Mycobacterium
SAMN06064239	GCF_002086225.1	franklinii	Mycobacterium
SAMN05186779	GCF_002013715.1	franklinii	Mycobacterium
SAMN03354702	GCF_011064445.1	franklinii	Mycobacterium
SAMN05897992	GCF_001853795.1	franklinii	Mycobacterium
SAMN03733495	GCF_001605725.1	immunogenum	Mycobacterium
SAMN04395166	GCF_001655155.1	immunogenum	Mycobacterium
SAMEA3138276	GCF_000069185.1	abscessus	Mycobacterium
SAMN06064247	GCF_002086375.1	abscessus	Mycobacterium
SAMN06064233	GCF_002086525.1	abscessus	Mycobacterium
SAMN15472764	GCF_013449725.1	LB1	Mycobacterium
SAMN05827291	GCF_009729375.1	CBMA326	Mycobacterium
SAMD00153189	GCF_010729895.1	confluentis	Mycobacterium
SAMN04634265	GCF_001667265.1	ACS4331	Mycobacterium
SAMEA114267543	GCF_963378095.1	Mu0053	Mycobacterium
SAMEA4364211	GCF_900637205.1	chitae	Mycobacterium
SAMEA114267541	GCF_963378085.1	Mu0050	Mycobacterium
SAMN07606484	GCF_002592005.1	palauense	Mycobacterium
SAMN15568956	GCF_025822605.1	komossense	Mycobacterium
SAMN16862530	GCF_015710575.1	mengxianglii	Mycobacterium
SAMD00153164	GCF_010725885.1	tokaiense	Mycobacterium
SAMN05415090	GCF_001695755.1	tokaiense	Mycobacterium
SAMN06187687	GCF_001984215.1	MS1601	Mycobacterium
SAMD00153202	GCF_010731615.1	insubricum	Mycobacterium
SAMD00153171	GCF_010726955.1	fallax	Mycobacterium
SAMN07733417	GCF_002553575.1	brumae	Mycobacterium
SAMN07269033	GCF_002245615.1	neumannii	Mycobacterium
SAMN07269029	GCF_002245535.1	neumannii	Mycobacterium
SAMN04696151	GCF_001667105.1	neumannii	Mycobacterium
SAMN04691977	GCF_001665615.1	neumannii	Mycobacterium
SAMN04349503	GCF_001500025.1	IS-1590	Mycobacterium
SAMD00041175	GCF_001570485.1	novocastrense	Mycobacterium
SAMN04349490	GCF_001499845.1	novocastrense	Mycobacterium
SAMN04349504	GCF_001500045.1	novocastrense	Mycobacterium
SAMN04349499	GCF_001499905.1	GA-1285	Mycobacterium
SAMEA3432686	GCF_001050015.1	malmesburyense	Mycobacterium
SAMEA3432687	GCF_001050035.1	komaniense	Mycobacterium
SAMN04691954	GCF_001665535.1	SCH5331710	Mycobacterium
SAMN04634236	GCF_001666865.1	SCH5331710	Mycobacterium
SAMN04634188	GCF_001668575.1	1164985.4	Mycobacterium
SAMN09476218	GCF_003284965.1	GF69	Mycobacterium
SAMN06064236	GCF_002086175.1	celeriflavum	Mycobacterium
SAMN04349492	GCF_001500145.1	GA-1999	Mycobacterium
SAMN04349494	GCF_001500065.1	IS-3022	Mycobacterium
SAMN04634201	GCF_001672895.1	E740	Mycobacterium
