Uid	Len	ab|cd	ac|bd	ad|bc
440	0.0401281645	760	0	0
427	0.0305247684	1512	0	0
736	0.0194304181	1228201	80209	477550
633	0.0970011177	4500	0	0
661	0.0083786673	9516	1	51
465	0.0031822844	760	0	0
441	0.0041345185	368	13	0
576	0.0357838956	301	0	80
595	0.0187430973	760	0	0
748	0.013894235	10627	3145	5312
531	0.0746753916	3970	110	1
664	0.0737929384	12985	0	0
540	0.075207893	1137	0	0
403	0.0646497335	381	0	0
442	0.0550100161	760	0	0
755	0.0052434403	26168	19371	2177
523	0.0113836952	3016	0	0
612	0.0021029756	435960	0	0
657	0.0165060948	27225	0	0
520	0.0091089732	760	0	0
400	0.0055629972	760	0	0
628	0.0184661531	8391	0	1626
652	0.0102498837	760	0	0
710	0.0060817275	15812	8786	2
449	0.0157599486	1516	0	0
610	0.0503986316	6244	2635	1537
420	0.008830962	3016	0	0
728	0.0107074017	10786	0	374
731	0.0066176104	16016	48209	0
563	0.0200243603	1885	0	0
448	0.0550100161	760	0	0
533	0.0079894722	381	0	0
584	0.0153423362	1513	2	1
556	0.0281447859	381	0	0
462	0.0040960453	6552	0	0
408	0.035831704	379	2	0
536	0.0050887159	380	1	0
751	0.0038478486	123541	344759	302100
655	0.0198406384	15624	0	0
637	0.0096273595	26515	1	52
651	0.0299394192	1516	0	0
698	0.0041948144	257346	56859	795
431	0.0350827067	1516	0	0
494	0.004407274	1512	0	0
740	0.0782551893	378	3	0
387	0.002560765	749	1	10
504	0.004407274	1509	0	759
413	0.0020262429	1746	1270	0
557	0.0153423362	1137	0	0
515	0.0608119798	3912	600	0
701	0.011773433	112859	1	0
553	0.0040517038	52888	19640	26025
529	0.0040960453	22289	998	9
650	0.0128793957	7603	3048	1221
741	0.0007498384	27276	3	1
632	0.0284176778	70488	0	0
407	0.0792492354	381	0	0
468	0.0157599486	1137	0	0
483	0.0163893486	1137	0	0
574	0.0078497784	2266	0	2
486	0.0463098156	188	187	6
393	0.0024424817	11851	3773	0
452	0.034523407	1885	0	0
392	0.0065066436	4967	781	984
