Uid	Len	ab|cd	ac|bd	ad|bc
461	0.0579734699	1553	159	173
697	0.0046558508	593	15	152
630	0.0026238316	1097	138	1033
519	0.0036998509	5962	0	6
472	0.0095080122	609	400	507
564	0.0081845475	2607	388	21
484	0.0013058185	2877	757	878
696	0.006329872	3596	6	158
660	0.0186923403	14274	39	0
618	0.0059104776	33756	2498	4850
398	0.0656317506	749	9	2
592	0.0059104776	49429	40	76
759	0.0045678158	3961914	1768625	3626965
413	0.0217998457	381	0	0
503	0.0033324532	365	4	12
426	0.0095034192	380	0	1
744	0.0119386664	819336	26468	11932
677	0.1517425573	7963	3286	1736
679	0.0059208141	19803	1144	653
532	0.0030743094	227	0	154
447	0.0095080122	1136	1	0
621	0.0146741967	6076	22	3919
429	0.0080781274	1856	1011	853
552	0.000733193	9258	2651	5899
747	0.0029250744	199254	27934	87812
654	0.1209205613	866	269	377
399	0.0017239836	2850	160	6
734	0.0238910888	31779	31741	28208
553	0.0031278183	5893	544	1703
758	0.0286825481	130389	52816	116603
439	0.0048635228	745	13	2
763	0.0045678158	24437277	3783928	7929275
415	0.0550306068	1615	653	0
570	0.0050064203	15340	446	1830
490	0.0058429237	1461	2	49
617	0.0125326117	14757	1	2
454	0.0048635228	600	12	148
639	0.0649684457	1516	0	0
403	0.0430589659	207	133	41
674	0.0069137874	373	8	0
668	0.0138269217	9106	2026	28
410	0.0680388935	381	0	0
567	0.0029225058	2099	9	1652
581	0.0135646187	416362	0	38
500	0.0492592587	369	3	9
506	0.0031654926	33396	9511	774
629	0.011146909	377	4	0
720	0.0025838097	170913	22997	31490
596	0.017904328	1758	125	2
395	0.0497435885	1125	6	6
478	0.0769268551	2600	13	12
548	0.0299544545	738	2	20
678	0.0143472608	7364	40	177
509	0.0375482765	381	0	0
437	0.0517617827	924	2	211
393	0.04355039	381	0	0
487	0.0012158792	814	128	195
626	0.0021343215	823	661	32
458	0.043914396	299	0	82
623	0.0194301359	1128	7	2
424	0.0860390902	4081	0	0
597	0.0359216145	2992	0	0
721	0.0155959708	1207	251	54
652	0.0800863798	47152	11832	28136
698	0.0359216145	5220	5	11
479	0.0257739079	381	0	0
693	0.118831665	13320	0	0
576	0.0097108238	11109	2	49
649	0.0048840003	78536	27087	12017
694	0.0282450587	3356	0	1
637	0.1068625221	249	0	132
533	0.0541803581	898	212	27
465	0.0403527739	760	0	0
716	0.0027120344	11369	5617	5334
593	0.0032980959	6334	1306	3340
436	0.0168351883	29440	0	0
389	0.1164347223	3357	0	0
468	0.0498801723	3024	0	0
559	0.0073180113	377	0	4
606	0.0117321033	19197	238	113
460	0.0405325725	760	0	0
628	0.0994391148	685	0	75
