AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
385, GCF 000195855.1, GCF 000975265.2, 0.0657318019, 0.0663582961
386, GCF 001632805.1, GCF 002356335.1, 0.0435149399, 0.0419893314
387, GCF 002013685.1, GCF 004366675.1, 0.0418330161, 0.0423371709
388, GCF 002013385.1, GCF 002013745.1, 0.0438107716, 0.0421212015
389, GCA 022374915.2, GCF 003391395.1, 0.0109052340, 0.0094722532
390, 387, 388, 0.0109782780, 0.0101167300
391, GCF 022374935.2, GCF 001673575.1, 0.0292961427, 0.0292255256
392, GCF 020172685.1, GCF 020181615.1, 0.0603263396, 0.0351522429
393, GCF 003284925.1, GCF 002086455.1, 0.0252650854, 0.0292638143
394, 391, GCA 024758765.1, 0.0045490205, 0.0574732828
395, 394, GCF 963378105.1, 0.0031697577, 0.0372795129
396, 386, 390, 0.0384111572, 0.0247657327
397, GCF 002086225.1, GCF 001605725.1, 0.0840600800, 0.0851773587
398, 385, GCF 003408705.1, 0.0428900039, 0.1854143772
399, 395, GCF 900604305.1, 0.0076989873, 0.0497435885
400, GCF 026240945.1, GCF 033741155.1, 0.0356152266, 0.0238613301
401, GCF 002086405.1, GCF 002086515.1, 0.0621202030, 0.0543173086
402, 393, GCF 010723225.1, 0.0144835906, 0.0435503900
403, GCF 900566055.1, GCF 000157895.3, 0.0377053712, 0.0383173654
404, 403, GCF 002086675.1, 0.0014469678, 0.0430589659
405, GCF 002705925.1, GCF 002102175.1, 0.0381597917, 0.0376263965
406, GCF 001673635.1, GCF 001668675.1, 0.0320767901, 0.0345242361
407, 397, GCF 000069185.1, 0.0065399754, 0.0922424635
408, GCF 006864685.1, GCF 001426545.1, 0.0384023411, 0.0420121014
409, GCF 019645815.1, GCF 900078685.2, 0.0495065936, 0.0448748129
410, GCF 010731815.2, GCF 021916785.1, 0.0340063172, 0.0367258597
411, 399, 409, 0.0080825549, 0.0017239836
412, GCF 010728325.1, GCF 017312425.1, 0.0300581826, 0.0301364131
413, GCF 001500145.1, GCF 001500065.1, 0.0256101909, 0.0286557307
414, GCF 002086715.1, 396, 0.0864244961, 0.0153165389
415, 404, 405, 0.0056123136, 0.0050771868
416, GCF 002086795.1, GCF 010726765.1, 0.0413837354, 0.0406021834
417, GCF 010728925.1, 416, 0.0434520936, 0.0008827832
418, GCF 002086815.1, GCF 010725485.1, 0.0284158598, 0.0297800412
419, GCF 013404075.1, GCF 000230935.1, 0.0327656989, 0.0349175562
420, GCF 900187145.1, GCF 002086285.1, 0.0538903488, 0.0535055697
421, 407, 414, 0.0071195619, 0.0033614080
422, GCF 900232995.1, GCF 002101845.1, 0.0544237633, 0.0525746218
423, GCF 018326285.1, GCF 005670685.2, 0.0330109066, 0.0338335162
424, GCF 002086275.1, GCF 010723575.1, 0.0509619941, 0.0537417099
425, GCF 900453395.1, GCF 016592155.1, 0.0649831405, 0.0727210048
426, GCF 001665535.1, GCF 001668575.1, 0.0294843818, 0.0296957427
427, GCF 000373905.1, GCF 000382405.1, 0.0379689462, 0.0375293030
428, 423, GCF 010731115.1, 0.0020999696, 0.0353425141
429, GCF 013449725.1, GCF 009729375.1, 0.1075566356, 0.1080662214
430, GCF 002086155.1, GCF 002116635.1, 0.0426979796, 0.0455097709
431, 415, GCF 900566075.1, 0.0067520746, 0.0550306068
432, GCF 002887815.1, GCF 000559085.1, 0.0382577505, 0.0388558738
433, 398, GCF 000340435.2, 0.0167508519, 0.0656317506
434, GCF 001954215.1, GCF 001954275.1, 0.0317459573, 0.0318887615
435, 411, GCF 002101775.1, 0.0105639247, 0.0676670662
436, 429, 421, 0.0048318656, 0.0080781274
437, 428, GCF 026501225.1, 0.0052331140, 0.0449579957
438, 406, GCF 000613245.1, 0.0141271102, 0.0487571225
439, GCF 002157835.1, GCF 002086485.1, 0.0351419600, 0.0366884995
440, GCF 001672815.1, GCF 002101935.1, 0.0297613503, 0.0258429790
441, GCF 027706845.1, GCF 002101705.1, 0.0540496658, 0.0578350780
