AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
385, GCF 002356335.1, GCF 001632805.1, 0.0184189904, 0.0177417196
386, GCF 002013745.1, GCF 002013385.1, 0.0217890148, 0.0219221552
387, GCF 004366675.1, GCF 002013685.1, 0.0233687291, 0.0226951809
388, 386, 387, 0.0028062750, 0.0025607650
389, 388, 385, 0.0154549388, 0.0221145487
390, GCF 000069185.1, GCF 001605725.1, 0.0434352133, 0.0440600667
391, GCF 002086225.1, 390, 0.0472763098, 0.0029138502
392, 389, GCF 002086715.1, 0.0107803398, 0.0494317752
393, 392, 391, 0.0022573342, 0.0065066436
394, GCF 009729375.1, GCF 013449725.1, 0.0595639204, 0.0595120796
395, 393, 394, 0.0084467434, 0.0024424817
396, GCF 005670685.2, GCF 018326285.1, 0.0226360290, 0.0236446010
397, GCF 001673575.1, GCF 022374935.2, 0.0175805846, 0.0185933454
398, 396, GCF 010731115.1, 0.0042691520, 0.0279854180
399, GCF 000416385.1, GCF 000691525.1, 0.0229941284, 0.0226814716
400, GCF 033741155.1, GCF 026240945.1, 0.0201156106, 0.0182051594
401, GCF 001426545.1, GCF 006864685.1, 0.0251099160, 0.0235238840
402, 398, GCF 026501225.1, 0.0051818489, 0.0329405586
403, GCF 021916785.1, GCF 010731815.2, 0.0233310528, 0.0230681672
404, 397, GCF 963378105.1, 0.0060369237, 0.0246592213
405, GCF 017312425.1, GCF 010728325.1, 0.0195443963, 0.0199706037
406, GCF 010725485.1, GCF 002086815.1, 0.0208051116, 0.0208593084
407, GCA 022374915.2, GCF 003391395.1, 0.0110809878, 0.0107068322
408, GCF 002086455.1, GCF 003284925.1, 0.0273425036, 0.0252126864
409, 404, GCA 024758765.1, 0.0048997429, 0.0303476246
410, GCF 002086515.1, GCF 002086405.1, 0.0318346724, 0.0330425576
411, GCF 000230935.1, GCF 013404075.1, 0.0245711671, 0.0233380729
412, GCF 000559085.1, GCF 002887815.1, 0.0242657639, 0.0238907861
413, 402, GCF 009729075.1, 0.0074636200, 0.0404809137
414, GCF 900453085.1, GCF 008329905.1, 0.0252905019, 0.0253929781
415, GCF 025331195.1, GCF 001905655.1, 0.0427801743, 0.0419191557
416, 409, GCF 900604305.1, 0.0049137407, 0.0342873118
417, GCF 020181615.1, GCF 020172685.1, 0.0341368420, 0.0345961480
418, 413, 415, 0.0038401599, 0.0020262429
419, GCF 002101555.1, GCF 000613185.1, 0.0298315833, 0.0289085367
420, 408, GCF 010723225.1, 0.0071615710, 0.0358317040
421, GCF 001668575.1, GCF 001665535.1, 0.0188037448, 0.0185805452
422, GCF 002086695.1, 414, 0.0285030715, 0.0036967335
423, GCF 002101705.1, GCF 027706845.1, 0.0294278937, 0.0294210763
424, 418, GCF 005670695.1, 0.0023388354, 0.0464827597
425, 412, 422, 0.0065944401, 0.0013473286
426, GCF 002086485.1, GCF 002157835.1, 0.0248192862, 0.0246660138
427, GCF 000382405.1, GCF 000373905.1, 0.0236995640, 0.0225124860
428, GCF 010728925.1, GCF 002086795.1, 0.0230352590, 0.0239058310
429, 416, GCF 019645815.1, 0.0052160296, 0.0379792304
430, 429, GCF 900078685.2, 0.0011932211, 0.0396598111
431, 400, 419, 0.0169873653, 0.0055629972
432, GCF 001428895.1, GCF 008329585.1, 0.0378065231, 0.0382694669
433, GCF 001665685.1, GCF 025822265.1, 0.0279898404, 0.0272667196
434, GCF 001667265.1, GCF 010729895.1, 0.0374503552, 0.0394652148
435, GCF 001668675.1, GCF 001673635.1, 0.0198151673, 0.0196544227
436, GCF 002086285.1, GCF 900187145.1, 0.0395320117, 0.0403834683
